date,storage
2019-05-05,316.0374017
2019-05-06,316.7221016
2019-05-07,317.9075011
2019-05-08,319.4869016
2019-05-09,320.7413418
2019-05-10,321.9975467
2019-05-11,323.6143317
2019-05-12,325.1458309
2019-05-13,326.0835621
2019-05-14,327.113156
2019-05-15,327.9851653
2019-05-16,328.8191352
2019-05-17,329.9250892
2019-05-18,332.255446
2019-05-19,334.7439956
2019-05-20,336.6423225
2019-05-21,338.4475461
2019-05-22,340.2954926
2019-05-23,342.2963304
2019-05-24,344.664384
2019-05-25,347.2599905
2019-05-26,350.4324093
2019-05-27,352.2913254
2019-05-28,353.7730183
2019-05-29,355.5965254
2019-05-30,358.1973303
2019-05-31,360.9528808
2019-06-01,364.1365799
2019-06-02,367.3813103
2019-06-03,370.0040648
2019-06-04,372.4531006
2019-06-05,374.8923846
2019-06-06,377.0001033
2019-06-07,379.7725474
2019-06-08,382.212383
2019-06-09,384.6658856
2019-06-10,386.7959688
2019-06-11,388.6954732
2019-06-12,390.7750021
2019-06-13,392.8591815
2019-06-14,395.0351716
2019-06-15,397.6199854
2019-06-16,399.9043814
2019-06-17,402.1325662
2019-06-18,404.1211406
2019-06-19,406.0071131
2019-06-20,408.0189771
2019-06-21,410.9876762
2019-06-22,413.5143417
2019-06-23,416.1656212
2019-06-24,418.209007
2019-06-25,420.3269948
2019-06-26,422.5174693
2019-06-27,424.5687997
2019-06-28,426.7367964
2019-06-29,429.3743247
2019-06-30,432.2379209
2019-07-01,434.2283233
2019-07-02,435.9522689
2019-07-03,437.7833369
2019-07-04,439.5659443
2019-07-05,441.0112222
2019-07-06,443.4652068
2019-07-07,445.8243255
2019-07-08,447.0992904
2019-07-09,448.0892708
2019-07-10,449.5050629
2019-07-11,451.0442016
2019-07-12,452.7660983
2019-07-13,454.9487213
2019-07-14,457.3248089
2019-07-15,458.9546477
2019-07-16,459.658649
2019-07-17,460.2088656
2019-07-18,460.9360366
2019-07-19,461.6912072
2019-07-20,463.0810372
2019-07-21,464.5661754
2019-07-22,465.4010903
2019-07-23,466.5807881
2019-07-24,467.5327913
2019-07-25,468.5476741
2019-07-26,469.4618277
2019-07-27,470.9707679
2019-07-28,472.655563
2019-07-29,473.8342154
2019-07-30,475.1549475
2019-07-31,477.2500501
2019-08-01,477.8649839
2019-08-02,479.4322001
2019-08-03,481.2222044
2019-08-04,483.1344741
2019-08-05,484.6154902
2019-08-06,486.1339148
2019-08-07,487.9412338
2019-08-08,489.6788323
2019-08-09,491.6614234
2019-08-10,494.0468201
2019-08-11,496.5041074
2019-08-12,498.4069122
2019-08-13,499.7573381
2019-08-14,501.4546592
2019-08-15,503.4247975
2019-08-16,505.2926157
2019-08-17,507.5576676
2019-08-18,509.5594663
2019-08-19,512.1239229
2019-08-20,513.9693404
2019-08-21,515.7691493
2019-08-22,517.6362609
2019-08-23,517.8529552
2019-08-24,519.6785762
2019-08-25,521.5702597
2019-08-26,522.7909305
2019-08-27,523.6668891
2019-08-28,524.3067009
2019-08-29,525.0327889
2019-08-30,526.0481931
2019-08-31,527.5050726
2019-09-01,529.1880653
2019-09-02,530.1819623
2019-09-03,531.0031751
2019-09-04,531.7480478
2019-09-05,532.2107627
2019-09-06,532.5527393
2019-09-07,533.0391429
2019-09-08,533.585802
2019-09-09,533.8848839
2019-09-10,534.3399928
2019-09-11,535.0103273
2019-09-12,535.8467268
2019-09-13,536.5328767
2019-09-14,537.4578655
2019-09-15,538.5934051
2019-09-16,539.3191123
2019-09-17,539.9170422
2019-09-18,540.3127764
2019-09-19,540.2308143
2019-09-20,540.2582028
2019-09-21,541.011184
2019-09-22,541.9910729
2019-09-23,542.28157
2019-09-24,542.4916484
2019-09-25,542.2305465
2019-09-26,542.3548286
2019-09-27,542.9503533
2019-09-28,544.0347518
2019-09-29,545.3917079
2019-09-30,546.0733162
2019-10-01,545.6741755
2019-10-02,546.0359672
2019-10-03,545.8855702
2019-10-04,545.6761157
2019-10-05,546.156551
2019-10-06,546.7379732
2019-10-07,547.5011255
2019-10-08,547.1890325
2019-10-09,546.6912881
2019-10-10,552.7471055
2019-10-11,552.6715954
2019-10-12,553.5344442
2019-10-13,554.8965373
2019-10-14,555.2307923
2019-10-15,555.4438293
2019-10-16,555.6646568
2019-10-17,555.8077354
2019-10-18,555.8053491
2019-10-19,556.2253582
2019-10-20,555.2721876
2019-10-21,555.2659787
2019-10-22,555.087801
2019-10-23,555.101848
2019-10-24,555.1346258
2019-10-25,555.3296339
2019-10-26,556.1720982
2019-10-27,556.7050162
2019-10-28,556.3736926
2019-10-29,555.5315508
2019-10-30,554.5605228
2019-10-31,553.0290341
2019-11-01,553.2834322
2019-11-02,554.1952515
2019-11-03,555.020104
2019-11-04,555.3572064
2019-11-05,555.248679
2019-11-06,555.0896613
2019-11-07,554.9819575
2019-11-08,554.3944361
2019-11-09,554.1501504
2019-11-10,553.7815134
2019-11-11,552.8258614
2019-11-12,551.6049204
2019-11-13,550.3919946
2019-11-14,549.0071322
2019-11-15,547.5366983
2019-11-16,546.4880583
2019-11-17,545.4918128
2019-11-18,544.004492
2019-11-19,541.9290601
2019-11-20,538.8320742
2019-11-21,536.2601902
2019-11-22,534.7130713
2019-11-23,534.5675035
2019-11-24,534.4484391
2019-11-25,533.6937683
2019-11-26,533.5633457
2019-11-27,533.7286894
2019-11-28,533.7983496
2019-11-29,533.3760667
2019-11-30,532.6208019
2019-12-01,531.5054585
2019-12-02,529.647478
2019-12-03,527.8091946
2019-12-04,525.6816421
2019-12-05,523.1112328
2019-12-06,521.3106429
2019-12-07,521.1342818
2019-12-08,521.6495121
2019-12-09,520.563434
2019-12-10,518.6862648
2019-12-11,516.4199546
2019-12-12,514.1450011
2019-12-13,512.5440533
2019-12-14,512.2935183
2019-12-15,512.2351427
2019-12-16,511.4058566
2019-12-17,510.8157905
2019-12-18,510.0893236
2019-12-19,509.9788977
2019-12-20,509.8689011
2019-12-21,509.9910685
2019-12-22,510.1388731
2019-12-23,509.9559431
2019-12-24,510.0474246
2019-12-25,510.193228
2019-12-26,509.9643689
2019-12-27,509.1417225
2019-12-28,508.066448
2019-12-29,506.6881647
2019-12-30,505.0197611
2019-12-31,500.1978451
2020-01-01,501.5200521
2020-01-02,498.8180129
2020-01-03,497.0239081
2020-01-04,495.3127099
2020-01-05,493.5003143
2020-01-06,490.9740564
2020-01-07,488.2089566
2020-01-08,485.7297177
2020-01-09,483.717373
2020-01-10,481.8551262
2020-01-11,479.8546636
2020-01-12,477.9656056
2020-01-13,475.8429568
2020-01-14,473.4987914
2020-01-15,471.0071351
2020-01-16,468.4760355
2020-01-17,465.4934761
2020-01-18,462.6245402
2020-01-19,459.7816561
2020-01-20,455.446426
2020-01-21,450.9364254
2020-01-22,446.3325517
2020-01-23,441.8070381
2020-01-24,437.1108421
2020-01-25,433.4846246
2020-01-26,430.5898032
2020-01-27,427.5832831
2020-01-28,424.0889874
2020-01-29,420.3996494
2020-01-30,417.5972136
2020-01-31,415.317996
2020-02-01,414.7824261
2020-02-02,413.877345
2020-02-03,412.1065456
2020-02-04,409.4967206
2020-02-05,406.4376513
2020-02-06,402.4994693
2020-02-07,399.428436
2020-02-08,397.06488
2020-02-09,395.8666111
2020-02-10,394.0530635
2020-02-11,391.4488359
2020-02-12,388.3858253
2020-02-13,385.3533965
2020-02-14,382.784883
2020-02-15,381.8872559
2020-02-16,381.5816554
2020-02-17,380.379589
2020-02-18,378.5513041
2020-02-19,376.3768277
2020-02-20,374.4985679
2020-02-21,372.6639353
2020-02-22,371.7027292
2020-02-23,371.0387277
2020-02-24,369.6954897
2020-02-25,367.9105253
2020-02-26,364.7160247
2020-02-27,361.1915682
2020-02-28,358.0860168
2020-02-29,356.9257333
2020-03-01,355.2293062
2020-03-02,352.388222
2020-03-03,350.3801017
2020-03-04,347.7003735
2020-03-05,345.0952681
2020-03-06,342.7280935
2020-03-07,341.2486517
2020-03-08,340.3441297
2020-03-09,338.6389851
2020-03-10,337.3072086
2020-03-11,336.7989573
2020-03-12,336.0577838
2020-03-13,334.4552739
2020-03-14,333.3762123
2020-03-15,332.8897621
2020-03-16,331.8335603
2020-03-17,331.3585639
2020-03-18,330.7645475
2020-03-19,330.2509407
2020-03-20,329.5882933
2020-03-21,329.1857985
2020-03-22,328.3352695
2020-03-23,326.9056993
2020-03-24,325.2252872
2020-03-25,323.7028169
2020-03-26,322.1766631
2020-03-27,321.6160964
2020-03-28,321.6553487
2020-03-29,321.2563405
2020-03-30,319.0325732
2020-03-31,311.8466432
2020-04-01,317.2546239
2020-04-02,317.0468393
2020-04-03,317.0094344
2020-04-04,317.9355184
2020-04-05,319.4408103
2020-04-06,320.7369053
2020-04-07,322.1654482
2020-04-08,324.036917
2020-04-09,325.9544766
2020-04-10,328.168845
2020-04-11,330.4906055
2020-04-12,333.5421781
2020-04-13,335.7960701
2020-04-14,337.0359861
2020-04-15,338.3812332
2020-04-16,340.1016945
2020-04-17,342.0488007
2020-04-18,344.6937918
2020-04-19,347.4322867
2020-04-20,349.7505292
2020-04-21,352.0728479
2020-04-22,354.4151612
2020-04-23,356.574416
2020-04-24,358.9245982
2020-04-25,361.38956
2020-04-26,363.6938458
2020-04-27,365.5797647
2020-04-28,367.3682457
2020-04-29,369.4820149
2020-04-30,372.2794809
2020-05-01,374.7826742
2020-05-02,377.040763
2020-05-03,379.28821
2020-05-04,381.2550009
2020-05-05,382.9848413
2020-05-06,384.8490699
2020-05-07,386.8747226
2020-05-08,389.3363093
2020-05-09,392.3680376
2020-05-10,395.5156769
2020-05-11,395.8040192
2020-05-12,396.2735352
2020-05-13,397.1926955
2020-05-14,398.2356125
2020-05-15,399.5468456
2020-05-16,401.580209
2020-05-17,404.0189988
2020-05-18,406.322944
2020-05-19,407.8932277
2020-05-20,409.6438161
2020-05-21,411.7754263
2020-05-22,414.3210297
2020-05-23,417.0052182
2020-05-24,419.0539561
2020-05-25,420.8620891
2020-05-26,422.5018019
2020-05-27,423.6144205
2020-05-28,424.6747946
2020-05-29,426.0120788
2020-05-30,427.9600001
2020-05-31,429.954659
2020-06-01,431.7379975
2020-06-02,433.0893554
2020-06-03,434.2883734
2020-06-04,435.6912988
2020-06-05,437.0164958
2020-06-06,438.7443183
2020-06-07,440.4046198
2020-06-08,441.3884785
2020-06-09,442.0042158
2020-06-10,442.5034957
2020-06-11,443.4222722
2020-06-12,444.7127072
2020-06-13,446.5697555
2020-06-14,448.5704398
2020-06-15,449.7562394
2020-06-16,450.7494276
2020-06-17,451.452472
2020-06-18,452.3540815
2020-06-19,453.3606724
2020-06-20,455.1145641
2020-06-21,457.0678835
2020-06-22,458.2695708
2020-06-23,459.3425851
2020-06-24,460.2299966
2020-06-25,461.0824217
2020-06-26,462.2372613
2020-06-27,463.8291818
2020-06-28,465.6004962
2020-06-29,466.8284836
2020-06-30,467.8718162
2020-07-01,468.8692678
2020-07-02,469.6477748
2020-07-03,471.215399
2020-07-04,473.1825772
2020-07-05,475.2589574
2020-07-06,476.2121046
2020-07-07,476.6198549
2020-07-08,476.8147419
2020-07-09,476.9333834
2020-07-10,477.6250285
2020-07-11,479.0511144
2020-07-12,480.7699797
2020-07-13,482.0612164
2020-07-14,481.8964751
2020-07-15,481.4208949
2020-07-16,481.0969851
2020-07-17,480.7804908
2020-07-18,480.6234171
2020-07-19,480.6218339
2020-07-20,480.4190628
2020-07-21,479.817163
2020-07-22,479.0395491
2020-07-23,478.4257499
2020-07-24,478.0455357
2020-07-25,477.9412744
2020-07-26,479.4031365
2020-07-27,480.3675838
2020-07-28,482.2076294
2020-07-29,482.4755513
2020-07-30,482.9840618
2020-07-31,481.2089811
2020-08-01,485.2451888
2020-08-02,486.7819091
2020-08-03,487.7917354
2020-08-04,488.6066763
2020-08-05,489.9521869
2020-08-06,490.8142888
2020-08-07,492.0207965
2020-08-08,493.5595605
2020-08-09,495.3210364
2020-08-10,496.6997583
2020-08-11,497.5128102
2020-08-12,498.4564687
2020-08-13,499.3413311
2020-08-14,500.5440528
2020-08-15,501.8433504
2020-08-16,503.693519
2020-08-17,504.8421233
2020-08-18,505.8214025
2020-08-19,506.6829206
2020-08-20,507.5735569
2020-08-21,508.8303242
2020-08-22,510.4553693
2020-08-23,511.613259
2020-08-24,512.1318057
2020-08-25,512.7890683
2020-08-26,513.4881344
2020-08-27,513.7187256
2020-08-28,512.2946822
2020-08-29,512.6995201
2020-08-30,513.3086727
2020-08-31,513.3621633
2020-09-01,513.7686781
2020-09-02,514.4561977
2020-09-03,515.4716473
2020-09-04,516.5371987
2020-09-05,518.0442143
2020-09-06,519.5768756
2020-09-07,520.5392025
2020-09-08,521.4317348
2020-09-09,522.293015
2020-09-10,523.212812
2020-09-11,524.1569003
2020-09-12,525.777972
2020-09-13,527.5238623
2020-09-14,528.58535
2020-09-15,529.3038073
2020-09-16,529.6272573
2020-09-17,528.6269227
2020-09-18,529.4814732
2020-09-19,530.7282534
2020-09-20,531.972909
2020-09-21,532.3482602
2020-09-22,532.9994057
2020-09-23,533.5992057
2020-09-24,534.6026645
2020-09-25,535.3978823
2020-09-26,536.1162059
2020-09-27,536.5060569
2020-09-28,535.8762375
2020-09-29,531.4510346
2020-09-30,534.841164
2020-10-01,534.8909133
2020-10-02,535.1385031
2020-10-03,536.0936443
2020-10-04,537.1608516
2020-10-05,537.160808
2020-10-06,537.182222
2020-10-07,537.1253526
2020-10-08,537.2159287
2020-10-09,537.5313044
2020-10-10,538.4826468
2020-10-11,538.9189022
2020-10-12,538.542698
2020-10-13,537.7168566
2020-10-14,536.5913611
2020-10-15,535.2686274
2020-10-16,533.8161987
2020-10-17,532.8397165
2020-10-18,532.5411378
2020-10-19,531.6549606
2020-10-20,531.0879899
2020-10-21,530.8780285
2020-10-22,530.590023
2020-10-23,530.4527421
2020-10-24,531.4329651
2020-10-25,532.5098147
2020-10-26,521.6256529
2020-10-27,531.4931853
2020-10-28,531.0750232
2020-10-29,530.7996032
2020-10-30,531.0294754
2020-10-31,531.6460663
2020-11-01,533.4555682
2020-11-02,534.5358096
2020-11-03,534.426057
2020-11-04,533.3013579
2020-11-05,532.81364
2020-11-06,531.8613264
2020-11-07,531.8103562
2020-11-08,531.941321
2020-11-09,531.1767548
2020-11-10,529.5652262
2020-11-11,528.738858
2020-11-12,527.908638
2020-11-13,527.1499691
2020-11-14,527.4556353
2020-11-15,528.0990582
2020-11-16,527.7483094
2020-11-17,527.1277995
2020-11-18,527.0043565
2020-11-19,526.4992712
2020-11-20,524.8161014
2020-11-21,523.869805
2020-11-22,522.8611076
2020-11-23,521.6192254
2020-11-24,518.965702
2020-11-25,516.2435786
2020-11-26,513.4030274
2020-11-27,510.4252777
2020-11-28,507.5697045
2020-11-29,504.3068811
2020-11-30,500.2179733
2020-12-01,495.9429694
2020-12-02,491.4825451
2020-12-03,487.280874
2020-12-04,483.4570606
2020-12-05,480.123362
2020-12-06,477.0297128
2020-12-07,473.0602237
2020-12-08,469.0695857
2020-12-09,464.1777308
2020-12-10,459.4836071
2020-12-11,455.2861539
2020-12-12,452.3669097
2020-12-13,450.0701989
2020-12-14,447.511663
2020-12-15,444.6203447
2020-12-16,442.1167285
2020-12-17,439.9622284
2020-12-18,438.0144676
2020-12-19,437.0335191
